Date,MXWD Index,LEGATRUU Index
2021-05-04,580.4636,541.3716
2021-05-05,583.31416,541.2375
2021-05-06,584.3468,542.2509
2021-05-07,584.609,543.9796
2021-05-10,581.04852,544.2806
2021-05-11,574.1719,543.2458
2021-05-12,569.17537,540.1344
2021-05-13,569.98154,539.7186
2021-05-14,576.03271,541.4651
2021-05-17,574.58547,541.5547
2021-05-18,571.96439,542.912
2021-05-19,568.91156,542.3672
2021-05-20,574.01293,543.0263
2021-05-21,576.75797,543.0951
2021-05-24,578.1404,544.1431
2021-05-25,577.82606,545.5446
2021-05-26,580.75598,545.5732
2021-05-27,581.65056,544.555
2021-05-28,582.86362,544.5224
2021-05-31,581.82074,545.6221
2021-06-01,583.46775,545.3925
2021-06-02,585.01073,545.0055
2021-06-03,586.93177,542.8905
2021-06-04,589.02376,544.8868
2021-06-07,587.94358,545.1704
2021-06-08,588.73567,545.8227
2021-06-09,587.68849,546.7127
2021-06-10,589.82303,547.0628
2021-06-11,594.79441,546.4901
2021-06-14,594.87015,545.7203
2021-06-15,594.04916,545.1463
2021-06-16,592.37424,544.5583
2021-06-17,600.93384,541.6913
2021-06-18,594.49819,541.0609
2021-06-21,596.56079,541.1611
2021-06-22,598.86452,540.6725
2021-06-23,599.04398,541.3362
2021-06-24,602.56292,541.1681
2021-06-25,604.7651,540.859
2021-06-28,605.59834,541.4538
2021-06-29,606.62315,541.1156
2021-06-30,607.62191,540.8085
2021-07-01,609.17875,540.3512
2021-07-02,611.84,540.9466
2021-07-05,611.20576,541.6213
2021-07-06,612.22793,542.7508
2021-07-07,613.90483,543.0441
2021-07-08,605.36522,544.7191
2021-07-09,609.70728,543.3574
2021-07-12,613.36912,543.8089
2021-07-13,615.32176,542.7963
2021-07-14,613.61413,543.914
2021-07-15,613.11726,544.4911
2021-07-16,608.90128,544.2199
2021-07-19,599.56202,545.7806
2021-07-20,605.62243,544.9147
2021-07-21,610.3486,544.1744
2021-07-22,614.47037,545.6402
2021-07-23,617.88987,544.6589
2021-07-26,615.19997,545.5705
2021-07-27,610.34834,546.7374
2021-07-28,612.50076,546.2772
2021-07-29,613.94691,548.1083
2021-07-30,610.68303,548.0067
2021-08-02,612.36748,549.5073
2021-08-03,615.22733,549.6865
2021-08-04,616.1768,549.2379
2021-08-05,618.77768,549.0013
2021-08-06,621.97414,545.4096
2021-08-09,622.63524,544.9198
2021-08-10,624.80326,544.1473
2021-08-11,624.79443,544.4205
2021-08-12,625.96183,544.2845
2021-08-13,623.74619,546.3322
2021-08-16,624.01809,547.106
2021-08-17,622.70527,545.3788
2021-08-18,619.64723,545.3132
2021-08-19,615.91359,544.8827
2021-08-20,617.43502,544.5656
2021-08-23,622.26834,545.8259
2021-08-24,625.32806,546.031
2021-08-25,625.67134,544.3272
2021-08-26,622.76576,544.2683
2021-08-27,624.72757,545.4851
2021-08-30,627.89769,546.1344
2021-08-31,627.8229,545.7278
2021-09-01,627.67446,546.3743
2021-09-02,628.45984,547.1922
2021-09-03,627.80807,547.0585
2021-09-06,630.28574,546.6882
2021-09-07,629.86433,544.7328
2021-09-08,628.45385,544.3552
2021-09-09,625.06525,546.1978
2021-09-10,623.81183,545.8667
2021-09-13,624.73075,545.6168
2021-09-14,621.86731,546.7265
2021-09-15,624.43434,546.5043
2021-09-16,625.17653,544.5895
2021-09-17,622.53914,543.042
2021-09-20,612.59666,543.9537
2021-09-21,613.08186,544.2057
2021-09-22,617.16498,544.3785
2021-09-23,622.92566,542.5405
2021-09-24,623.47243,540.3463
2021-09-27,622.93411,539.6712
2021-09-28,612.44804,537.1431
2021-09-29,615.45496,536.1746
2021-09-30,613.18123,536.0307
2021-10-01,614.33319,537.625
2021-10-04,607.22222,538.0222
2021-10-05,612.13262,536.1598
2021-10-06,614.82656,535.4392
2021-10-07,621.17246,535.2252
2021-10-08,620.45547,534.0941
2021-10-11,618.82643,532.9596
2021-10-12,618.7644,532.6855
2021-10-13,619.04267,534.5015
2021-10-14,627.05592,536.0059
2021-10-15,632.1279,535.3239
2021-10-18,631.43375,534.436
2021-10-19,635.30689,534.5607
2021-10-20,636.64885,534.5393
2021-10-21,638.09617,533.8994
2021-10-22,638.11494,534.6288
2021-10-25,641.3468,534.6463
2021-10-26,643.68275,534.6097
2021-10-27,638.94065,536.6947
2021-10-28,639.64335,537.4202
2021-10-29,645.83465,534.7351
2021-11-01,645.59117,534.5809
2021-11-02,647.09108,535.6053
2021-11-03,649.93983,535.1194
2021-11-04,654.58327,536.1492
2021-11-05,655.13005,538.4602
2021-11-08,654.73278,538.6007
2021-11-09,652.87258,539.9487
2021-11-10,652.76103,535.9644
2021-11-11,656.72989,534.6237
2021-11-12,661.04568,534.024
2021-11-15,665.26278,533.0986
2021-11-16,669.90131,531.454
2021-11-17,668.21053,531.2902
2021-11-18,665.41381,532.5247
2021-11-19,668.18632,533.4286
2021-11-22,667.2941,530.3753
2021-11-23,665.71619,528.4724
2021-11-24,669.25974,527.571
2021-11-25,669.31615,528.0893
2021-11-26,648.9095,533.2551
2021-11-29,655.11226,532.0211
2021-11-30,642.32323,533.171
2021-12-01,639.92441,534.8757
2021-12-02,645.93869,534.6867
2021-12-03,640.24746,534.9088
2021-12-06,647.0915,534.3721
2021-12-07,662.75872,533.7813
2021-12-08,659.18944,533.5149
2021-12-09,658.64907,533.7297
2021-12-10,659.2957,534.0023
2021-12-13,655.50908,534.5923
2021-12-14,651.80731,533.9306
2021-12-15,658.8659,532.9264
2021-12-16,654.63244,534.349
2021-12-17,651.99778,534.2808
2021-12-20,642.26524,533.793
2021-12-21,653.59998,531.7061
2021-12-22,656.13276,532.7338
2021-12-23,660.36659,531.7635
2021-12-24,661.79127,532.1036
2021-12-27,666.87093,532.0166
2021-12-28,668.42932,531.862
2021-12-29,667.13609,531.1477
2021-12-30,667.52267,531.2514
2021-12-31,662.94405,532.4266
2022-01-03,670.81133,528.8281
2022-01-04,671.53347,528.3537
2022-01-05,659.76466,528.1506
2022-01-06,658.66962,526.2224
2022-01-07,654.38214,526.1801
2022-01-10,654.28511,525.8972
2022-01-11,658.47402,526.4258
2022-01-12,658.51957,528.619
2022-01-13,651.48661,530.5009
2022-01-14,652.87985,528.423
2022-01-17,652.68209,527.0524
2022-01-18,647.51223,524.6096
2022-01-19,641.52512,525.2652
2022-01-20,640.45593,526.3355
2022-01-21,628.24287,527.3968
2022-01-24,624.31585,526.3927
2022-01-25,620.29819,525.6297
2022-01-26,621.13297,524.0277
2022-01-27,623.71308,521.5173
2022-01-28,632.34042,521.6466
2022-01-31,639.42909,521.5153
2022-02-01,643.38835,522.0745
2022-02-02,644.57935,523.552
2022-02-03,625.79194,522.5528
2022-02-04,627.51746,519.7704
2022-02-07,628.96655,519.5252
2022-02-08,632.09912,517.5876
2022-02-09,641.02509,518.7161
2022-02-10,633.50615,516.1411
2022-02-11,627.76582,516.3244
2022-02-14,626.29248,513.7693
2022-02-15,631.92843,513.4765
2022-02-16,633.05222,514.7358
2022-02-17,624.51818,515.955
2022-02-18,621.21171,516.3191
2022-02-21,618.29481,516.3109
2022-02-22,612.82036,515.4697
2022-02-23,606.63464,514.4588
2022-02-24,610.68873,511.0814
2022-02-25,621.4158,513.0395
2022-02-28,622.95422,515.3167
2022-03-01,619.84886,518.1627
2022-03-02,625.93713,513.3635
2022-03-03,625.05248,513.563
2022-03-04,621.74684,514.0915
2022-03-07,607.6057,511.22
2022-03-08,598.98383,507.8588
2022-03-09,606.31753,508.236
2022-03-10,610.76697,505.9301
2022-03-11,607.85214,504.4521
2022-03-14,600.09986,500.5434
2022-03-15,607.81871,500.2873
2022-03-16,621.96759,500.8681
2022-03-17,624.8279,503.0519
2022-03-18,634.28493,503.0012
2022-03-21,635.31819,500.3058
2022-03-22,642.48408,497.5722
2022-03-23,638.86544,498.6054
2022-03-24,644.73476,497.0697
2022-03-25,645.60231,494.8202
2022-03-28,647.7746,493.6653
2022-03-29,652.67094,496.2107
2022-03-30,646.33253,498.5417
2022-03-31,642.08419,499.6239
2022-04-01,645.53071,496.7495
2022-04-04,654.93831,497.151
2022-04-05,652.21358,493.2353
2022-04-06,644.61093,491.0825
2022-04-07,645.75821,490.1194
2022-04-08,645.81439,487.9714
2022-04-11,636.85126,485.5268
2022-04-12,636.4655,486.3068
2022-04-13,639.50772,486.2088
2022-04-14,638.60383,483.4566
2022-04-15,638.7246,483.4557
2022-04-18,639.22148,482.1889
2022-04-19,643.04483,478.9586
2022-04-20,642.13428,481.9728
2022-04-21,634.88436,479.3854
2022-04-22,623.09018,476.8646
2022-04-25,623.99459,477.5059
2022-04-26,614.5144,478.4777
2022-04-27,619.04696,475.121
2022-04-28,633.30733,472.302
2022-04-29,619.64835,472.2504
2022-05-02,621.91036,469.7271
2022-05-03,623.93733,470.3652
2022-05-04,632.36686,471.1247
2022-05-05,618.47655,468.4534
2022-05-06,609.01325,466.2955
2022-05-09,589.90874,466.1936
2022-05-10,592.72717,467.7695
2022-05-11,588.30301,468.9915
2022-05-12,594.00521,469.5897
2022-05-13,604.46306,467.6844
2022-05-16,602.26609,468.5391
2022-05-17,607.4438,468.4481
2022-05-18,594.67913,469.5778
2022-05-19,584.89606,471.7416
2022-05-20,589.5246,472.3058
2022-05-23,591.40386,472.7711
2022-05-24,583.09393,475.7261
2022-05-25,591.24092,475.7175
2022-05-26,597.1374,475.4129
2022-05-27,609.56153,476.4501
2022-05-30,609.00195,476.7996
2022-05-31,608.28755,473.5394
2022-06-01,608.95789,470.8893
2022-06-02,610.98762,471.1731
2022-06-03,605.05238,470.5493
2022-06-06,609.40772,468.339
2022-06-07,611.73245,468.4076
2022-06-08,606.71349,466.7871
2022-06-09,598.72991,464.5085
2022-06-10,589.81335,459.9209
2022-06-13,572.61684,452.7848
2022-06-14,569.83935,449.5534
2022-06-15,578.21248,452.6948
2022-06-16,554.7143,455.0716
2022-06-17,558.41546,453.6435
2022-06-20,557.03079,454.121
2022-06-21,567.04718,452.9056
2022-06-22,562.11026,456.2471
2022-06-23,568.07965,458.6762
2022-06-24,580.89902,458.2262
2022-06-27,579.90876,457.1295
2022-06-28,576.55174,454.9949
2022-06-29,577.73157,456.3437
2022-06-30,569.27778,458.3446
2022-07-01,575.92357,460.4431
2022-07-04,576.33196,459.6232
2022-07-05,583.445,458.9856
2022-07-06,588.33009,457.608
2022-07-07,598.61004,456.3169
2022-07-08,598.58621,455.2944
2022-07-11,597.00089,454.8598
2022-07-12,592.42665,455.9666
2022-07-13,589.51795,457.0978
2022-07-14,589.61605,453.3118
2022-07-15,593.89832,455.7091
2022-07-18,589.95928,456.9458
2022-07-19,597.91632,456.6603
2022-07-20,604.47061,456.1915
2022-07-21,609.33333,458.1495
2022-07-22,603.70133,462.7664
2022-07-25,604.20742,462.1802
2022-07-26,604.54992,461.9589
2022-07-27,615.85887,461.9295
2022-07-28,620.61666,466.4023
2022-07-29,625.39678,468.0885
2022-08-01,621.37853,471.4708
2022-08-02,621.20481,468.0509
2022-08-03,629.55488,466.2057
2022-08-04,626.09817,468.8103
2022-08-05,628.03751,464.016
2022-08-08,628.51501,466.3329
2022-08-09,624.09708,465.4268
2022-08-10,629.30053,469.2578
2022-08-11,629.92227,467.2407
2022-08-12,641.09135,465.9465
2022-08-15,647.68956,466.79
2022-08-16,648.66762,465.1255
2022-08-17,644.43906,462.1164
2022-08-18,649.53984,461.8438
2022-08-19,644.48814,456.9952
2022-08-22,639.81192,454.1108
2022-08-23,635.44243,454.184
2022-08-24,637.96795,452.7305
2022-08-25,645.48549,454.2985
2022-08-26,629.15591,453.6138
2022-08-29,620.58422,451.4003
2022-08-30,615.27125,449.89
2022-08-31,609.81371,449.6171
2022-09-01,612.17068,445.4849
2022-09-02,608.80752,447.8703
2022-09-05,609.25078,445.9945
2022-09-06,607.85104,442.7942
2022-09-07,609.37371,443.4599
2022-09-08,614.24406,442.6036
2022-09-09,619.5743,444.3755
2022-09-12,622.04456,445.9714
2022-09-13,610.61282,442.1294
2022-09-14,609.10913,442.4648
2022-09-15,602.94164,440.836
2022-09-16,597.17458,440.3541
2022-09-19,598.80833,439.9227
2022-09-20,595.77134,437.4513
2022-09-21,593.56657,436.5916
2022-09-22,588.97795,433.3212
2022-09-23,585.00082,429.6236
2022-09-26,582.44731,424.2758
2022-09-27,584.13755,421.4479
2022-09-28,583.18563,424.921
2022-09-29,570.6652,425.5687
2022-09-30,565.24137,426.5159
2022-10-03,575.03497,430.1659
2022-10-04,583.89097,432.8625
2022-10-05,588.91666,429.1077
2022-10-06,588.03009,427.382
2022-10-07,576.78056,424.8319
2022-10-10,575.23153,422.4155
2022-10-11,565.38679,421.1081
2022-10-12,568.33044,420.4829
2022-10-13,571.56583,419.77
2022-10-14,568.10105,418.8053
2022-10-17,572.88546,420.4909
2022-10-18,578.3055,421.3877
2022-10-19,578.75773,418.346
2022-10-20,574.37254,417.512
2022-10-21,579.25846,415.9279
2022-10-24,582.20677,418.0608
2022-10-25,586.71187,422.3679
2022-10-26,579.7364,426.2548
2022-10-27,583.46643,428.228
2022-10-28,592.56213,426.3085
2022-10-31,593.07626,423.5826
2022-11-01,594.48553,424.3857
2022-11-02,585.24312,424.3376
2022-11-03,585.58869,420.3735
2022-11-04,585.10481,422.2824
2022-11-07,585.64368,423.3282
2022-11-08,586.34962,425.7782
2022-11-09,580.63927,426.2647
2022-11-10,599.08932,435.6731
2022-11-11,598.20586,438.5809
2022-11-14,594.80312,437.8666
2022-11-15,598.24574,441.048
2022-11-16,593.76387,443.0857
2022-11-17,591.85623,440.195
2022-11-18,596.18736,440.8363
2022-11-21,597.46174,438.5632
2022-11-22,600.58673,440.7016
2022-11-23,601.35179,444.374
2022-11-24,601.36267,446.2042
2022-11-25,600.76139,444.7593
2022-11-28,595.12912,444.2731
2022-11-29,597.33124,443.5807
2022-11-30,611.65138,443.5168
2022-12-01,604.79121,451.2251
2022-12-02,601.87783,451.8751
2022-12-05,597.13425,451.0722
2022-12-06,590.36443,451.3035
2022-12-07,585.86975,453.2836
2022-12-08,588.24858,453.2428
2022-12-09,587.29708,451.5544
2022-12-12,591.03171,450.4589
2022-12-13,592.84484,454.5534
2022-12-14,589.37758,455.5269
2022-12-15,578.09548,452.8577
2022-12-16,571.5553,451.1433
2022-12-19,566.592,449.0026
2022-12-20,568.04258,449.438
2022-12-21,575.55316,449.3601
2022-12-22,570.99008,448.483
2022-12-23,570.36531,447.4247
2022-12-26,569.94564,447.3318
2022-12-27,568.93862,446.0965
2022-12-28,564.46477,444.3344
2022-12-29,568.59886,446.1406
