Date,Ptf_rdt,Ptf_rdt_cum,Valeur_Ptf,Volatilite_glissante,vol_ewma,"VaR Norm(95%, 1Y)"
2022-05-24,0.01651296286031569,0.72497041785449,1087455.626781735,,0.12678309215194794,-0.20853962896225428
2022-05-25,0.013844171550831796,0.7350070326885457,1102510.5490328185,,0.1229207684065411,-0.20218667174116103
2022-05-26,0.042095167053142576,0.7659472765148048,1148920.9147722072,,0.1479946177388655,-0.24342948375706955
2022-05-27,0.004994758779370693,0.769772998398712,1154659.497598068,,0.14501477877995408,-0.23852808483777282
2022-05-30,-0.0017420117597108805,0.7684320447831936,1152648.0671747904,,0.14163779785966701,-0.23297344552289273
2022-05-31,-0.0007816589323801677,0.7678313930114616,1151747.0895171924,,0.13734504250567062,-0.2259124913092564
2022-06-01,0.016675825826959405,0.7806356155857924,1170953.4233786885,,0.13320654613846034,-0.21910527054952508
2022-06-02,-0.011606910156032622,0.7715748481310889,1157362.2721966333,,0.12928766256518784,-0.21265928069042728
2022-06-03,0.004305054449433134,0.7748965198641063,1162344.7797961596,,0.12534903944085013,-0.20618082215916544
2022-06-06,-0.0001450166320919391,0.7747841469805758,1162176.2204708639,,0.1217194767683016,-0.2002107228329763
2022-06-07,-0.0016653477336709668,0.7734938619573175,1160240.7929359763,,0.11810089653795951,-0.19425868801668322
2022-06-08,-0.013636268173291954,0.7629462922252722,1144419.4383379084,,0.11696220182065795,-0.19238570188093929
2022-06-09,-0.034125730109585604,0.7369101929686835,1105365.2894530252,,0.1333289455186782,-0.21930659961401303
2022-06-10,-0.04363638492460825,0.7047540961334348,1057131.1442001523,,0.15688401708515456,-0.2580512445132332
2022-06-13,-0.005182528266118312,0.7011016881095605,1051652.5321643408,,0.15352294048163115,-0.25252276547146596
2022-06-14,0.0164833386392211,0.7126581846552,1068987.2769828,,0.15042246297172335,-0.24742293379401264
2022-06-15,-0.0415028742612657,0.6830808216261933,1024621.23243929,,0.1691785299970058,-0.2782739186678934
2022-06-16,0.008947679337118666,0.68919280977944,1033789.21466916,,0.16425361752240014,-0.2701731585216197
2022-06-17,-0.0010633784832044758,0.6884599369747413,1032689.9054621119,,0.1598361080181083,-0.26290700199139266
2022-06-20,0.01888978648567936,0.7014647981881384,1052197.1972822077,,0.1592897438586019,-0.2620083129219923
2022-06-21,-0.007510894443471899,0.6961961701331361,1044294.2551997041,,0.156770173973465,-0.25786398925806714
2022-06-22,-0.0020717556137235344,0.6947538218094099,1042130.7327141148,,0.15202205377633032,-0.25005402653060865
2022-06-23,0.040485736894026125,0.7228814422453048,1084322.163367957,,0.1612872237104036,-0.2652938749009908
2022-06-24,-0.0015801476436444637,0.7217391828377065,1082608.7742565598,,0.1564191579591029,-0.25728661929372565
2022-06-27,-0.012197283589220169,0.7129359253471831,1069403.8880207746,,0.1517289532674543,-0.24957191909552262
2022-06-28,-0.016561549463902422,0.7011286017549526,1051692.902632429,,0.15072689035690684,-0.24792367228267506
2022-06-29,-0.02009697755226445,0.6870380359842327,1030557.0539763491,,0.15481175173748588,-0.2546426713401145
2022-06-30,-0.002379387102541048,0.6854033065424567,1028104.9598136852,,0.1536023733902163,-0.25265342097925153
2022-07-01,0.001428578701512941,0.6863824591081298,1029573.6886621946,,0.14899705459969428,-0.24507834566339365
2022-07-04,0.012840732712012875,0.6951961128037514,1042794.169205627,,0.14446684586513847,-0.23762681539551228
2022-07-05,0.01955812650007783,0.7087928463203296,1063189.2694804943,,0.1441572092944099,-0.23711750855911257
2022-07-06,0.024572342986451827,0.726209547246456,1089314.320869684,,0.14735656561653399,-0.24237998140946848
2022-07-07,0.004452617780586851,0.7294430807889575,1094164.6211834361,,0.14287517937858507,-0.2350087570022078
2022-07-08,-0.014019428208568942,0.7192167058855994,1078825.058828399,,0.1385251171163081,-0.22785354131263683
2022-07-11,-0.005958148059328445,0.7149315062651904,1072397.2593977856,,0.13543171023755432,-0.222765339788482
2022-07-12,-0.007808285889924462,0.7093491166725575,1064023.6750088362,,0.13512579788149634,-0.22226215874009078
2022-07-13,0.004355718929058514,0.7124388420473592,1068658.2630710388,,0.13130187086464437,-0.2159723585172241
2022-07-14,0.011874280281435527,0.7208985405412109,1081347.8108118165,,0.1290658622142567,-0.21229445157873908
2022-07-15,0.006955096255750486,0.7259124592813051,1088868.6889219577,,0.12629102562125416,-0.20773025154454117
2022-07-18,0.016706150348163314,0.7380396619656636,1107059.4929484953,,0.12369267622857132,-0.20345634712189964
2022-07-19,0.026444994779825558,0.7575571169736498,1136335.6754604748,,0.12600865942257222,-0.2072658004785107
2022-07-20,0.015487408769193207,0.7692897137102322,1153934.5705653483,,0.12602541542552137,-0.2072933616507348
2022-07-21,-0.014304980213228019,0.7582850395773675,1137427.559366051,,0.12227895142555867,-0.20113097675215305
2022-07-22,-0.01123461855419197,0.7497659964023654,1124648.9946035482,,0.1185736810962065,-0.19503634941208245
2022-07-25,-0.009722501299088672,0.7424763955283309,1113714.5932924964,,0.11500842582556722,-0.18917202634916358
2022-07-26,0.02586751015948866,0.7616824112328405,1142523.6168492609,,0.11533688797104434,-0.1897122985004679
